Size of Dataset, 2000
Number of Clusters, 4
Number of Buzz, 394.0
Number of NonBuzz, 1606.0
---------------------------------------------
Cluster 0 size: 1
Entropy, 0.0
WSS , 0.0
---------------------------------------------
Cluster 1 size: 1
Entropy, 0.0
WSS , 0.0
---------------------------------------------
Cluster 2 size: 10
Entropy, 0.0
WSS , 3.104714708251724E7
---------------------------------------------
Cluster 3 size: 1988
Entropy, 0.7059535338145684
WSS , 1.6960558336139421E9
---------------------------------------------
BSS , 1.2690047796523112E17
TotalWSS , 1.7271029806964593E9
TotalInfoGain , 0.298282187388319
